DATE,VALUE
1995-01-04,89.6664
1995-01-05,89.4395
1995-01-06,89.5925
1995-01-09,.
1995-01-10,90.5142
1995-01-11,90.4123
1995-01-12,90.3063
1995-01-13,89.3782
1995-01-16,.
1995-01-17,89.0787
1995-01-18,89.1643
1995-01-19,90.3289
1995-01-20,90.3736
1995-01-23,90.6205
1995-01-24,90.7326
1995-01-25,90.4374
1995-01-26,90.2474
1995-01-27,90.2813
1995-01-30,92.4807
1995-01-31,90.7066
1995-02-01,89.8260
1995-02-02,89.7199
1995-02-03,89.4809
1995-02-06,89.5692
1995-02-07,89.4854
1995-02-08,89.4862
1995-02-09,89.9829
1995-02-10,90.2989
1995-02-13,90.2143
1995-02-14,90.7201
1995-02-15,91.4355
1995-02-16,91.6422
1995-02-17,91.0199
1995-02-20,.
1995-02-21,89.8829
1995-02-22,91.2495
1995-02-23,90.6093
1995-02-24,91.0665
1995-02-27,91.6339
1995-02-28,91.3993
1995-03-01,91.4015
1995-03-02,91.4671
1995-03-03,91.7673
1995-03-06,93.0457
1995-03-07,93.7965
1995-03-08,93.5408
1995-03-09,95.3002
1995-03-10,92.3722
1995-03-13,92.6547
1995-03-14,92.8759
1995-03-15,93.6374
1995-03-16,94.4883
1995-03-17,94.3578
1995-03-20,93.8376
1995-03-21,94.0943
1995-03-22,94.4327
1995-03-23,94.0872
1995-03-24,93.5403
1995-03-27,93.2840
1995-03-28,93.4860
1995-03-29,93.4444
1995-03-30,93.3515
1995-03-31,93.3994
1995-04-03,93.3524
1995-04-04,92.8088
1995-04-05,92.3352
1995-04-06,92.3093
1995-04-07,91.8953
1995-04-10,.
1995-04-11,91.6610
1995-04-12,91.3863
1995-04-13,91.6999
1995-04-14,91.7194
1995-04-17,91.5744
1995-04-18,91.4719
1995-04-19,91.1131
1995-04-20,91.2175
1995-04-21,90.8636
1995-04-24,90.7512
1995-04-25,90.5762
1995-04-26,90.3797
1995-04-27,90.4329
1995-04-28,90.9597
1995-05-01,90.6847
1995-05-02,90.6776
1995-05-03,90.2590
1995-05-04,90.4143
1995-05-05,90.2722
1995-05-08,90.2327
1995-05-09,90.1415
1995-05-10,90.3975
1995-05-11,90.3711
1995-05-12,90.4887
1995-05-15,90.5346
1995-05-16,90.4442
1995-05-17,90.4037
1995-05-18,90.4441
1995-05-19,90.3531
1995-05-22,90.3721
1995-05-23,90.5774
1995-05-24,90.7785
1995-05-25,90.8370
1995-05-26,90.8853
1995-05-29,.
1995-05-30,91.0990
1995-05-31,90.9937
1995-06-01,91.2332
1995-06-02,91.0610
1995-06-05,90.9628
1995-06-06,90.8388
1995-06-07,90.8960
1995-06-08,91.1021
1995-06-09,91.2318
1995-06-12,91.3482
1995-06-13,91.0758
1995-06-14,90.9618
1995-06-15,91.0345
1995-06-16,90.9696
1995-06-19,91.0572
1995-06-20,91.0599
1995-06-21,91.2201
1995-06-22,91.1541
1995-06-23,91.0982
1995-06-26,91.1219
1995-06-27,91.1678
1995-06-28,91.3021
1995-06-29,91.1489
1995-06-30,91.1127
1995-07-03,91.1163
1995-07-04,.
1995-07-05,91.1888
1995-07-06,91.1489
1995-07-07,90.9945
1995-07-10,91.0998
1995-07-11,90.9736
1995-07-12,90.9755
1995-07-13,90.7943
1995-07-14,90.6770
1995-07-17,90.7312
1995-07-18,90.8561
1995-07-19,90.9541
1995-07-20,91.1076
1995-07-21,91.0034
1995-07-24,91.0173
1995-07-25,91.2338
1995-07-26,91.1344
1995-07-27,90.9796
1995-07-28,91.0172
1995-07-31,91.0783
1995-08-01,91.1393
1995-08-02,91.1908
1995-08-03,91.2859
1995-08-04,91.2355
1995-08-07,91.3756
1995-08-08,91.4211
1995-08-09,91.4149
1995-08-10,91.4520
1995-08-11,91.6163
1995-08-14,91.6717
1995-08-15,91.7854
1995-08-16,92.0630
1995-08-17,92.2490
1995-08-18,92.3285
1995-08-21,92.4402
1995-08-22,92.4169
1995-08-23,92.6322
1995-08-24,92.7359
1995-08-25,92.7058
1995-08-28,92.6771
1995-08-29,92.7282
1995-08-30,92.5760
1995-08-31,92.6464
1995-09-01,92.5400
1995-09-04,.
1995-09-05,92.5076
1995-09-06,92.5761
1995-09-07,92.5843
1995-09-08,92.7121
1995-09-11,92.7449
1995-09-12,92.8017
1995-09-13,92.8620
1995-09-14,92.9425
1995-09-15,92.9997
1995-09-18,93.0845
1995-09-19,93.1052
1995-09-20,93.1585
1995-09-21,92.9163
1995-09-22,93.0401
1995-09-25,93.1539
1995-09-26,93.1480
1995-09-27,93.0514
1995-09-28,93.1092
1995-09-29,92.8695
1995-10-02,93.0188
1995-10-03,93.3914
1995-10-04,93.3501
1995-10-05,93.3017
1995-10-06,93.3592
1995-10-09,.
1995-10-10,94.0731
1995-10-11,93.8393
1995-10-12,93.7648
1995-10-13,93.8733
1995-10-16,93.8942
1995-10-17,93.8965
1995-10-18,93.8203
1995-10-19,93.7516
1995-10-20,93.7767
1995-10-23,93.6592
1995-10-24,93.9200
1995-10-25,94.0241
1995-10-26,94.4742
1995-10-27,94.8656
1995-10-30,94.3744
1995-10-31,94.8659
1995-11-01,95.3862
1995-11-02,95.4241
1995-11-03,96.2570
1995-11-06,95.5297
1995-11-07,95.9013
1995-11-08,96.4200
1995-11-09,97.0046
1995-11-10,.
1995-11-13,96.6880
1995-11-14,97.0284
1995-11-15,96.7897
1995-11-16,96.6587
1995-11-17,96.4850
1995-11-20,96.5369
1995-11-21,96.4433
1995-11-22,96.4741
1995-11-23,.
1995-11-24,96.4078
1995-11-27,96.3665
1995-11-28,96.2935
1995-11-29,95.9157
1995-11-30,96.0805
1995-12-01,96.1613
1995-12-04,96.2251
1995-12-05,96.3462
1995-12-06,96.3365
1995-12-07,96.4205
1995-12-08,96.5929
1995-12-11,96.5126
1995-12-12,97.2568
1995-12-13,97.3373
1995-12-14,97.3932
1995-12-15,97.2955
1995-12-18,97.2622
1995-12-19,97.1269
1995-12-20,.
1995-12-21,96.9367
1995-12-22,96.9302
1995-12-25,.
1995-12-26,96.8531
1995-12-27,97.0419
1995-12-28,.
1995-12-29,.
1996-01-01,.
1996-01-02,97.2289
1996-01-03,96.9840
1996-01-04,97.2355
1996-01-05,97.2005
1996-01-08,97.2823
1996-01-09,97.0927
1996-01-10,97.1764
1996-01-11,97.2276
1996-01-12,97.0476
1996-01-15,.
1996-01-16,97.2809
1996-01-17,97.1351
1996-01-18,97.0414
1996-01-19,96.9592
1996-01-22,96.7097
1996-01-23,96.8011
1996-01-24,96.9743
1996-01-25,96.9009
1996-01-26,96.9887
1996-01-29,96.8756
1996-01-30,96.8436
1996-01-31,96.9999
1996-02-01,96.9771
1996-02-02,96.9467
1996-02-05,96.8668
1996-02-06,97.0218
1996-02-07,97.0352
1996-02-08,97.0864
1996-02-09,97.0779
1996-02-12,97.1222
1996-02-13,97.2478
1996-02-14,97.1198
1996-02-15,97.0499
1996-02-16,97.1424
1996-02-19,.
1996-02-20,97.2376
1996-02-21,97.1601
1996-02-22,97.1952
1996-02-23,97.1819
1996-02-26,97.2148
1996-02-27,97.1662
1996-02-28,97.2571
1996-02-29,97.4357
1996-03-01,97.2982
1996-03-04,97.2635
1996-03-05,97.2130
1996-03-06,.
1996-03-07,97.1488
1996-03-08,97.2031
1996-03-11,97.3196
1996-03-12,97.3129
1996-03-13,97.2864
1996-03-14,97.1964
1996-03-15,97.2563
1996-03-18,97.2446
1996-03-19,97.1433
1996-03-20,97.1686
1996-03-21,97.2355
1996-03-22,97.2694
1996-03-25,97.1476
1996-03-26,97.1140
1996-03-27,97.2625
1996-03-28,97.1858
1996-03-29,97.1329
1996-04-01,97.0264
1996-04-02,97.0123
1996-04-03,97.0218
1996-04-04,97.0637
1996-04-05,97.0955
1996-04-08,97.1305
1996-04-09,97.0895
1996-04-10,96.9943
1996-04-11,96.9626
1996-04-12,97.0314
1996-04-15,96.9618
1996-04-16,96.8333
1996-04-17,96.7613
1996-04-18,96.7881
1996-04-19,96.6882
1996-04-22,97.2603
1996-04-23,97.3764
1996-04-24,97.3444
1996-04-25,97.2610
1996-04-26,97.2854
1996-04-29,97.3882
1996-04-30,97.3796
1996-05-01,97.3080
1996-05-02,97.4638
1996-05-03,97.4635
1996-05-06,97.6444
1996-05-07,97.5626
1996-05-08,97.4918
1996-05-09,97.5020
1996-05-10,97.4370
1996-05-13,97.4263
1996-05-14,97.3829
1996-05-15,97.4832
1996-05-16,97.4793
1996-05-17,97.4401
1996-05-20,97.5168
1996-05-21,97.4715
1996-05-22,97.4684
1996-05-23,97.4531
1996-05-24,97.7561
1996-05-27,.
1996-05-28,97.8187
1996-05-29,97.7696
1996-05-30,97.8692
1996-05-31,97.8318
1996-06-03,97.9195
1996-06-04,97.8599
1996-06-05,97.9676
1996-06-06,98.0142
1996-06-07,98.0794
1996-06-10,98.1347
1996-06-11,98.4083
1996-06-12,98.3174
1996-06-13,98.4588
1996-06-14,98.3223
1996-06-17,98.3338
1996-06-18,98.3141
1996-06-19,98.1794
1996-06-20,98.3581
1996-06-21,98.4249
1996-06-24,98.6268
1996-06-25,98.5637
1996-06-26,98.5592
1996-06-27,98.5141
1996-06-28,98.4888
1996-07-01,98.4995
1996-07-02,98.5047
1996-07-03,98.4582
1996-07-04,.
1996-07-05,98.6413
1996-07-08,98.7926
1996-07-09,98.6077
1996-07-10,98.5861
1996-07-11,98.6848
1996-07-12,98.7020
1996-07-15,98.7398
1996-07-16,98.7439
1996-07-17,98.7338
1996-07-18,98.6897
1996-07-19,98.6355
1996-07-22,98.6742
1996-07-23,98.5935
1996-07-24,98.5903
1996-07-25,98.5172
1996-07-26,98.6006
1996-07-29,98.4483
1996-07-30,98.5845
1996-07-31,98.5489
1996-08-01,98.4870
1996-08-02,98.4251
1996-08-05,98.4577
1996-08-06,98.4058
1996-08-07,98.4225
1996-08-08,98.5543
1996-08-09,98.3911
1996-08-12,98.3507
1996-08-13,98.3514
1996-08-14,98.4028
1996-08-15,98.4330
1996-08-16,98.3603
1996-08-19,98.3549
1996-08-20,98.3458
1996-08-21,98.3758
1996-08-22,98.3745
1996-08-23,98.3676
1996-08-26,98.4117
1996-08-27,98.4414
1996-08-28,98.3829
1996-08-29,98.4713
1996-08-30,98.6257
1996-09-02,.
1996-09-03,98.6590
1996-09-04,98.5910
1996-09-05,98.6999
1996-09-06,98.6463
1996-09-09,98.6023
1996-09-10,98.7072
1996-09-11,98.6512
1996-09-12,98.6308
1996-09-13,98.5208
1996-09-16,98.6198
1996-09-17,98.6047
1996-09-18,98.5182
1996-09-19,98.5139
1996-09-20,98.6017
1996-09-23,98.7041
1996-09-24,98.5393
1996-09-25,98.5590
1996-09-26,98.5918
1996-09-27,98.5910
1996-09-30,98.6881
1996-10-01,98.5642
1996-10-02,98.5487
1996-10-03,98.5618
1996-10-04,98.6081
1996-10-07,98.6626
1996-10-08,98.6864
1996-10-09,98.7855
1996-10-10,98.9323
1996-10-11,98.9686
1996-10-14,.
1996-10-15,99.2789
1996-10-16,99.3782
1996-10-17,99.3322
1996-10-18,99.3634
1996-10-21,99.3250
1996-10-22,99.4008
1996-10-23,99.6213
1996-10-24,99.5836
1996-10-25,99.9196
1996-10-28,99.8434
1996-10-29,99.8786
1996-10-30,100.0749
1996-10-31,100.1182
1996-11-01,99.9054
1996-11-04,99.7736
1996-11-05,99.7139
1996-11-06,99.7519
1996-11-07,99.8717
1996-11-08,99.7871
1996-11-11,.
1996-11-12,99.7588
1996-11-13,99.7826
1996-11-14,99.7609
1996-11-15,99.8238
1996-11-18,99.6971
1996-11-19,99.6798
1996-11-20,99.6826
1996-11-21,99.6962
1996-11-22,99.6670
1996-11-25,99.7744
1996-11-26,99.7171
1996-11-27,99.7587
1996-11-28,.
1996-11-29,99.7524
1996-12-02,99.7787
1996-12-03,99.8115
1996-12-04,99.7684
1996-12-05,99.8019
1996-12-06,99.8869
1996-12-09,99.9216
1996-12-10,99.8659
1996-12-11,99.9668
1996-12-12,100.0826
1996-12-13,100.1125
1996-12-16,100.0099
1996-12-17,99.9889
1996-12-18,99.8715
1996-12-19,99.9495
1996-12-20,99.9040
1996-12-23,99.9044
1996-12-24,99.8763
1996-12-25,.
1996-12-26,99.9543
1996-12-27,99.9779
1996-12-30,99.9931
1996-12-31,100.0445
1997-01-01,.
1997-01-02,100.2015
1997-01-03,100.0405
1997-01-06,99.9529
1997-01-07,99.9101
1997-01-08,99.8416
1997-01-09,99.8511
1997-01-10,99.9578
1997-01-13,99.9302
1997-01-14,99.8443
1997-01-15,99.8335
1997-01-16,99.8576
1997-01-17,99.9113
1997-01-20,.
1997-01-21,99.9324
1997-01-22,99.9872
1997-01-23,99.9590
1997-01-24,100.0581
1997-01-27,100.1083
1997-01-28,100.1424
1997-01-29,100.2016
1997-01-30,100.2780
1997-01-31,100.2006
1997-02-03,100.2364
1997-02-04,100.3221
1997-02-05,100.3282
1997-02-06,100.3236
1997-02-07,100.3331
1997-02-10,100.2613
1997-02-11,100.2967
1997-02-12,100.2870
1997-02-13,100.3905
1997-02-14,100.3492
1997-02-17,.
1997-02-18,100.4338
1997-02-19,100.3044
1997-02-20,100.0739
1997-02-21,100.1414
1997-02-24,100.1759
1997-02-25,100.1646
1997-02-26,100.2928
1997-02-27,100.4248
1997-02-28,100.7729
1997-03-03,100.8289
1997-03-04,100.7911
1997-03-05,101.0185
1997-03-06,100.9703
1997-03-07,100.9607
1997-03-10,100.8824
1997-03-11,100.9796
1997-03-12,100.9404
1997-03-13,101.0621
1997-03-14,101.0273
1997-03-17,101.0798
1997-03-18,101.0116
1997-03-19,100.9755
1997-03-20,101.0842
1997-03-21,101.0201
1997-03-24,100.9792
1997-03-25,100.9999
1997-03-26,101.1298
1997-03-27,101.1151
1997-03-28,101.1824
1997-03-31,101.1534
1997-04-01,101.0836
1997-04-02,101.1483
1997-04-03,101.2263
1997-04-04,101.1992
1997-04-07,101.1374
1997-04-08,101.1423
1997-04-09,101.1681
1997-04-10,101.1592
1997-04-11,101.2515
1997-04-14,101.2399
1997-04-15,101.1691
1997-04-16,101.1711
1997-04-17,101.1827
1997-04-18,101.1559
1997-04-21,101.1147
1997-04-22,101.1426
1997-04-23,101.1660
1997-04-24,101.1374
1997-04-25,101.2534
1997-04-28,101.3530
1997-04-29,101.4639
1997-04-30,101.4294
1997-05-01,101.4226
1997-05-02,101.3638
1997-05-05,101.3530
1997-05-06,101.2988
1997-05-07,101.4249
1997-05-08,101.3530
1997-05-09,101.2808
1997-05-12,101.3341
1997-05-13,101.3256
1997-05-14,101.2892
1997-05-15,101.1744
1997-05-16,101.1583
1997-05-19,101.1468
1997-05-20,101.0537
1997-05-21,101.0719
1997-05-22,101.1706
1997-05-23,101.1724
1997-05-26,.
1997-05-27,101.4038
1997-05-28,101.3452
1997-05-29,101.3097
1997-05-30,101.1763
1997-06-02,101.1983
1997-06-03,101.2197
1997-06-04,101.2199
1997-06-05,101.1494
1997-06-06,101.2199
1997-06-09,101.2451
1997-06-10,101.1518
1997-06-11,101.1403
1997-06-12,101.1443
1997-06-13,101.2724
1997-06-16,101.1309
1997-06-17,100.8697
1997-06-18,100.9943
1997-06-19,101.2283
1997-06-20,101.2488
1997-06-23,101.4488
1997-06-24,101.3867
1997-06-25,101.4271
1997-06-26,101.4659
1997-06-27,101.4854
1997-06-30,101.4437
1997-07-01,101.2731
1997-07-02,102.1440
1997-07-03,101.9972
1997-07-04,.
1997-07-07,101.9364
1997-07-08,101.9488
1997-07-09,101.9134
1997-07-10,101.7666
1997-07-11,102.2727
1997-07-14,102.4337
1997-07-15,102.5882
1997-07-16,102.5980
1997-07-17,102.7093
1997-07-18,102.8985
